CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKSUZLON28-OCT-2025,59.5700000,59.5400000,61.1000000,59.5200000,60.8300000,60.8300000,2.1100000,3298.0000000,13488000.0000000,1686.0000000,814916080.0000000
FUTSTKSUZLON30-SEP-2025,59.2900000,59.2400000,60.8000000,59.2200000,60.5100000,60.5100000,2.0500000,15326.0000000,35816000.0000000,4477.0000000,2152878080.0000000
FUTSTKSYNGENE28-OCT-2025,663.6500000,664.0000000,671.0000000,662.3500000,669.6500000,669.6500000,0.9000000,409.0000000,220000.0000000,220.0000000,146851350.0000000
FUTSTKSYNGENE30-SEP-2025,660.7500000,661.8500000,667.5000000,658.9500000,666.4500000,666.4500000,0.8600000,8952.0000000,974000.0000000,974.0000000,647180900.0000000
FUTSTKSYNGENE25-NOV-2025,666.8000000,666.8000000,672.7000000,666.5000000,672.5000000,672.5000000,0.8500000,46.0000000,23000.0000000,23.0000000,15430600.0000000
FUTSTKTATACONSUM28-OCT-2025,1139.6000000,1135.6000000,1141.0000000,1124.6000000,1136.0000000,1136.0000000,-0.3100000,1070.0000000,304700.0000000,554.0000000,345392300.0000000
FUTSTKTATACONSUM30-SEP-2025,1134.1000000,1133.5000000,1135.2000000,1119.0000000,1130.4000000,1130.4000000,-0.3200000,25090.0000000,1659900.0000000,3018.0000000,1871925550.0000000
FUTSTKTATACONSUM25-NOV-2025,1142.2000000,1139.2000000,1144.9000000,1131.4000000,1142.4000000,1142.4000000,0.0100000,86.0000000,19250.0000000,35.0000000,21915685.0000000
FUTSTKTATAELXSI30-SEP-2025,5721.0000000,5701.0000000,5722.0000000,5669.5000000,5696.0000000,5696.0000000,-0.4300000,24089.0000000,312900.0000000,3129.0000000,1781422200.0000000
FUTSTKTATAELXSI28-OCT-2025,5698.5000000,5694.0000000,5694.5000000,5642.5000000,5666.5000000,5666.5000000,-0.5600000,5577.0000000,144900.0000000,1449.0000000,820669650.0000000
FUTSTKTATAELXSI25-NOV-2025,5685.0000000,5666.5000000,5666.5000000,5618.5000000,5643.0000000,5643.0000000,-0.7300000,249.0000000,5600.0000000,56.0000000,31616250.0000000
FUTSTKTATAMOTORS28-OCT-2025,716.0000000,716.3500000,717.0000000,711.0000000,712.1000000,712.1000000,-0.5400000,16399.0000000,3694400.0000000,4618.0000000,2635527360.0000000
FUTSTKTATAMOTORS30-SEP-2025,714.2000000,714.2000000,715.5000000,708.5000000,709.8000000,709.8000000,-0.6100000,94007.0000000,12565600.0000000,15707.0000000,8938431920.0000000
FUTSTKTATAMOTORS25-NOV-2025,716.6500000,716.6500000,717.2000000,711.0000000,712.0500000,712.0500000,-0.6400000,2887.0000000,291200.0000000,364.0000000,207794680.0000000
FUTSTKTIINDIA28-OCT-2025,3413.9000000,3403.7000000,3423.7000000,3343.4000000,3357.3000000,3357.3000000,-1.6500000,280.0000000,41000.0000000,205.0000000,138183680.0000000
FUTSTKTIINDIA25-NOV-2025,3428.5000000,3416.0000000,3416.0000000,3370.0000000,3373.0000000,3373.0000000,-1.6100000,34.0000000,2400.0000000,12.0000000,8132120.0000000
FUTSTKTIINDIA30-SEP-2025,3396.5000000,3384.7000000,3408.0000000,3326.7000000,3341.1000000,3341.1000000,-1.6300000,10074.0000000,210400.0000000,1052.0000000,706004880.0000000
FUTSTKTITAGARH25-NOV-2025,957.0000000,957.0000000,965.7500000,952.2000000,963.4000000,963.4000000,0.6600000,175.0000000,26100.0000000,36.0000000,25002132.5000000
FUTSTKTITAGARH30-SEP-2025,949.5500000,944.8000000,959.8500000,944.8000000,956.5500000,956.5500000,0.7300000,8637.0000000,1072275.0000000,1479.0000000,1022240285.0000000
FUTSTKTITAGARH28-OCT-2025,952.5500000,948.9500000,962.1500000,948.7500000,960.1500000,960.1500000,0.7900000,809.0000000,176900.0000000,244.0000000,169055971.2500000
FUTSTKTITAN28-OCT-2025,3539.5000000,3534.0000000,3534.5000000,3489.5000000,3495.9000000,3495.9000000,-1.2300000,3601.0000000,470750.0000000,2690.0000000,1648003980.0000000
FUTSTKTITAN30-SEP-2025,3521.2000000,3521.5000000,3521.5000000,3471.0000000,3479.6000000,3479.6000000,-1.1800000,51597.0000000,1311625.0000000,7495.0000000,4568866732.5000000
FUTSTKTITAN25-NOV-2025,3556.7000000,3541.0000000,3541.0000000,3507.0000000,3514.5000000,3514.5000000,-1.1800000,401.0000000,38150.0000000,218.0000000,134285865.0000000
FUTSTKTORNTPHARM28-OCT-2025,3596.4000000,3608.3000000,3662.0000000,3600.0000000,3656.4000000,3656.4000000,1.6600000,143.0000000,43500.0000000,174.0000000,158307975.0000000
FUTSTKTORNTPHARM25-NOV-2025,3608.2000000,3625.8000000,3668.5000000,3625.8000000,3668.5000000,3668.5000000,1.6700000,14.0000000,3000.0000000,12.0000000,10943100.0000000
FUTSTKTORNTPHARM30-SEP-2025,3579.0000000,3585.5000000,3643.7000000,3582.0000000,3635.7000000,3635.7000000,1.5800000,9099.0000000,356250.0000000,1425.0000000,1289656500.0000000
FUTSTKTORNTPOWER25-NOV-2025,1300.5000000,1304.6000000,1308.6000000,1281.3000000,1282.5000000,1282.5000000,-1.3800000,81.0000000,10125.0000000,27.0000000,13088700.0000000
FUTSTKTORNTPOWER28-OCT-2025,1293.5000000,1296.5000000,1305.5000000,1273.0000000,1275.6000000,1275.6000000,-1.3800000,738.0000000,182250.0000000,486.0000000,234228937.5000000
